    61/50000: episode: 1, duration: 4.258s, episode steps: 61, steps per second: 14, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: -0.032 [-1.543, 1.146], loss: 0.426877, mean_absolute_error: 0.502965, mean_q: 0.178553\
    86/50000: episode: 2, duration: 0.414s, episode steps: 25, steps per second: 60, episode reward: 25.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.040 [-0.914, 0.635], loss: 0.197014, mean_absolute_error: 0.543120, mean_q: 0.681694\
    99/50000: episode: 3, duration: 0.215s, episode steps: 13, steps per second: 60, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.615 [0.000, 1.000], mean observation: -0.070 [-1.538, 1.029], loss: 0.086104, mean_absolute_error: 0.641244, mean_q: 1.058704\
   118/50000: episode: 4, duration: 0.317s, episode steps: 19, steps per second: 60, episode reward: 19.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.737 [0.000, 1.000], mean observation: -0.051 [-2.817, 1.923], loss: 0.059240, mean_absolute_error: 0.656439, mean_q: 1.186122\
   129/50000: episode: 5, duration: 0.181s, episode steps: 11, steps per second: 61, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.727 [0.000, 1.000], mean observation: -0.115 [-2.036, 1.218], loss: 0.041494, mean_absolute_error: 0.678526, mean_q: 1.219883\
   148/50000: episode: 6, duration: 0.318s, episode steps: 19, steps per second: 60, episode reward: 19.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.579 [0.000, 1.000], mean observation: -0.077 [-1.376, 0.788], loss: 0.023484, mean_absolute_error: 0.726019, mean_q: 1.366676\
   160/50000: episode: 7, duration: 0.199s, episode steps: 12, steps per second: 60, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.250 [0.000, 1.000], mean observation: 0.124 [-1.328, 2.207], loss: 0.013899, mean_absolute_error: 0.780200, mean_q: 1.515933\
   176/50000: episode: 8, duration: 0.264s, episode steps: 16, steps per second: 61, episode reward: 16.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.750 [0.000, 1.000], mean observation: -0.076 [-2.546, 1.563], loss: 0.026036, mean_absolute_error: 0.836868, mean_q: 1.616979\
   190/50000: episode: 9, duration: 0.233s, episode steps: 14, steps per second: 60, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.643 [0.000, 1.000], mean observation: -0.076 [-1.653, 1.029], loss: 0.022703, mean_absolute_error: 0.860906, mean_q: 1.673926\
   199/50000: episode: 10, duration: 0.149s, episode steps: 9, steps per second: 60, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.222 [0.000, 1.000], mean observation: 0.123 [-1.194, 1.961], loss: 0.019575, mean_absolute_error: 0.898136, mean_q: 1.776885\
   229/50000: episode: 11, duration: 0.492s, episode steps: 30, steps per second: 61, episode reward: 30.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.633 [0.000, 1.000], mean observation: -0.005 [-2.431, 1.718], loss: 0.036534, mean_absolute_error: 0.977635, mean_q: 1.896798\
   253/50000: episode: 12, duration: 0.399s, episode steps: 24, steps per second: 60, episode reward: 24.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.417 [0.000, 1.000], mean observation: 0.059 [-0.754, 1.503], loss: 0.025077, mean_absolute_error: 1.060407, mean_q: 2.097751\
   271/50000: episode: 13, duration: 0.300s, episode steps: 18, steps per second: 60, episode reward: 18.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.611 [0.000, 1.000], mean observation: -0.091 [-1.747, 0.845], loss: 0.042139, mean_absolute_error: 1.150211, mean_q: 2.215672\
   284/50000: episode: 14, duration: 0.215s, episode steps: 13, steps per second: 60, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.385 [0.000, 1.000], mean observation: 0.102 [-0.964, 1.591], loss: 0.044553, mean_absolute_error: 1.210659, mean_q: 2.337769\
   304/50000: episode: 15, duration: 0.334s, episode steps: 20, steps per second: 60, episode reward: 20.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: 0.084 [-0.594, 1.084], loss: 0.039436, mean_absolute_error: 1.260316, mean_q: 2.478751\
   326/50000: episode: 16, duration: 0.365s, episode steps: 22, steps per second: 60, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.455 [0.000, 1.000], mean observation: -0.085 [-1.429, 0.983], loss: 0.044925, mean_absolute_error: 1.359421, mean_q: 2.655441\
   354/50000: episode: 17, duration: 0.467s, episode steps: 28, steps per second: 60, episode reward: 28.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.571 [0.000, 1.000], mean observation: -0.082 [-1.699, 0.819], loss: 0.072668, mean_absolute_error: 1.467331, mean_q: 2.813634\
   368/50000: episode: 18, duration: 0.233s, episode steps: 14, steps per second: 60, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.643 [0.000, 1.000], mean observation: -0.089 [-1.588, 0.970], loss: 0.085394, mean_absolute_error: 1.547437, mean_q: 2.979358\
   385/50000: episode: 19, duration: 0.282s, episode steps: 17, steps per second: 60, episode reward: 17.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.588 [0.000, 1.000], mean observation: -0.063 [-1.266, 0.808], loss: 0.090620, mean_absolute_error: 1.621746, mean_q: 3.098412\
   402/50000: episode: 20, duration: 0.284s, episode steps: 17, steps per second: 60, episode reward: 17.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.706 [0.000, 1.000], mean observation: -0.065 [-2.208, 1.376], loss: 0.095030, mean_absolute_error: 1.654079, mean_q: 3.104396\
   425/50000: episode: 21, duration: 0.383s, episode steps: 23, steps per second: 60, episode reward: 23.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.435 [0.000, 1.000], mean observation: 0.116 [-0.590, 1.508], loss: 0.101981, mean_absolute_error: 1.753346, mean_q: 3.334682\
   458/50000: episode: 22, duration: 0.548s, episode steps: 33, steps per second: 60, episode reward: 33.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.636 [0.000, 1.000], mean observation: 0.062 [-2.394, 2.097], loss: 0.087250, mean_absolute_error: 1.863637, mean_q: 3.595175\
   477/50000: episode: 23, duration: 0.317s, episode steps: 19, steps per second: 60, episode reward: 19.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.632 [0.000, 1.000], mean observation: -0.048 [-1.706, 1.206], loss: 0.112747, mean_absolute_error: 1.950301, mean_q: 3.735965\
   497/50000: episode: 24, duration: 0.332s, episode steps: 20, steps per second: 60, episode reward: 20.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.600 [0.000, 1.000], mean observation: -0.061 [-1.653, 0.998], loss: 0.150241, mean_absolute_error: 2.055856, mean_q: 3.900519\
   529/50000: episode: 25, duration: 0.534s, episode steps: 32, steps per second: 60, episode reward: 32.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: -0.135 [-1.402, 0.989], loss: 0.127428, mean_absolute_error: 2.147351, mean_q: 4.111210\
   541/50000: episode: 26, duration: 0.200s, episode steps: 12, steps per second: 60, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.250 [0.000, 1.000], mean observation: 0.106 [-1.167, 2.083], loss: 0.212073, mean_absolute_error: 2.229719, mean_q: 4.141238\
   573/50000: episode: 27, duration: 0.533s, episode steps: 32, steps per second: 60, episode reward: 32.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.375 [0.000, 1.000], mean observation: -0.103 [-1.919, 1.978], loss: 0.156883, mean_absolute_error: 2.328894, mean_q: 4.461095\
   591/50000: episode: 28, duration: 0.299s, episode steps: 18, steps per second: 60, episode reward: 18.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.611 [0.000, 1.000], mean observation: -0.087 [-1.434, 0.745], loss: 0.131276, mean_absolute_error: 2.409210, mean_q: 4.661770\
   604/50000: episode: 29, duration: 0.217s, episode steps: 13, steps per second: 60, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.615 [0.000, 1.000], mean observation: -0.075 [-1.572, 1.026], loss: 0.200326, mean_absolute_error: 2.472438, mean_q: 4.766522\
   636/50000: episode: 30, duration: 0.531s, episode steps: 32, steps per second: 60, episode reward: 32.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.469 [0.000, 1.000], mean observation: -0.106 [-0.878, 0.629], loss: 0.162802, mean_absolute_error: 2.543193, mean_q: 4.921553\
   658/50000: episode: 31, duration: 0.366s, episode steps: 22, steps per second: 60, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.455 [0.000, 1.000], mean observation: -0.125 [-0.886, 0.554], loss: 0.223467, mean_absolute_error: 2.682810, mean_q: 5.185645\
   710/50000: episode: 32, duration: 0.867s, episode steps: 52, steps per second: 60, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.481 [0.000, 1.000], mean observation: 0.056 [-0.651, 1.384], loss: 0.239984, mean_absolute_error: 2.819685, mean_q: 5.464309\
   725/50000: episode: 33, duration: 0.250s, episode steps: 15, steps per second: 60, episode reward: 15.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.533 [0.000, 1.000], mean observation: -0.075 [-1.259, 0.807], loss: 0.281100, mean_absolute_error: 2.952404, mean_q: 5.738527\
   766/50000: episode: 34, duration: 0.682s, episode steps: 41, steps per second: 60, episode reward: 41.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.439 [0.000, 1.000], mean observation: -0.005 [-1.298, 1.700], loss: 0.264347, mean_absolute_error: 3.077096, mean_q: 5.975882\
   791/50000: episode: 35, duration: 0.416s, episode steps: 25, steps per second: 60, episode reward: 25.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: 0.108 [-0.446, 1.370], loss: 0.257099, mean_absolute_error: 3.218626, mean_q: 6.291272\
